Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,Tract,Description,Point,X,Y,WaterSample
7,2,21,11:29:21,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
7,2,21,11:30:01,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
7,2,21,11:45:00,-0.06,26.5,67.87,3.005,71.48,2.766,0,NA,NA,NA,NA,NA,NA
7,2,21,12:00:00,1.09,28.1,148.88,3.497,87.23,3.562,0,NA,NA,NA,NA,NA,NA
7,2,21,12:15:00,1.2,28.2,150.27,3.2,82.27,2.554,0,NA,NA,NA,NA,NA,NA
7,2,21,12:30:00,1.15,29.6,154.59,2.75,89.59,1.958,0,NA,NA,NA,NA,NA,NA
7,2,21,12:45:00,1.02,29.9,149.29,3.358,91.83,4.261,0,NA,NA,NA,NA,NA,NA
7,2,21,13:00:00,1.04,28.9,146.27,2.743,87.29,1.41,0,NA,NA,NA,NA,NA,NA
7,2,21,13:15:00,1.15,26.7,139.36,3.88,74.57,3.251,0,NA,NA,NA,NA,NA,NA
7,2,21,13:30:00,1.08,24.7,136.37,2.497,75.25,1.95,0,NA,NA,NA,NA,NA,NA
7,2,21,13:45:00,1.1,23.4,138.96,4.467,76.52,2.716,0,NA,NA,NA,NA,NA,NA
7,2,21,14:00:00,1.18,22,144.36,5.097,77.66,1.324,0,NA,NA,NA,NA,NA,NA
7,2,21,14:15:00,1.24,21,149.76,1.744,79.56,3.398,0,NA,NA,NA,NA,NA,NA
7,2,21,14:30:00,1.13,20.2,144.68,3.293,80.8,1.22,0,NA,NA,NA,NA,NA,NA
7,2,21,14:45:00,1.14,19.7,143.63,4.869,79.03,2.405,0,NA,NA,NA,NA,NA,NA
7,2,21,15:00:00,1.22,19.2,148.83,4.931,79.89,1.823,0,NA,NA,NA,NA,NA,NA
7,2,21,15:15:00,1.27,19,150.71,4.281,78.74,3.058,0,NA,NA,NA,NA,NA,NA
7,2,21,15:30:00,1.18,18.8,149.2,3.667,82.66,2.807,0,NA,NA,NA,NA,NA,NA
7,2,21,15:45:00,1.22,18.3,151.92,3.751,82.92,3.188,0,NA,NA,NA,NA,NA,NA
7,2,21,16:00:00,1.18,17.8,148.81,5.191,81.96,3.851,0,NA,NA,NA,NA,NA,NA
7,2,21,16:15:00,1.19,17.2,148.55,2.744,81.46,4.463,0,NA,NA,NA,NA,NA,NA
7,2,21,16:30:00,1.16,16.7,147.67,4.673,81.84,1.31,0,NA,NA,NA,NA,NA,NA
7,2,21,16:45:00,1.24,16.2,151.37,4.323,81.38,2.789,0,NA,NA,NA,NA,NA,NA
7,2,21,17:00:00,1.24,15.9,154.36,5.636,83.94,2.542,0,NA,NA,NA,NA,NA,NA
7,2,21,17:15:00,1.15,15.4,150.56,4.37,85.39,3.506,0,NA,NA,NA,NA,NA,NA
7,2,21,17:30:00,1.17,14.9,148.04,1.365,81.99,5.763,0,NA,NA,NA,NA,NA,NA
7,2,21,17:45:00,1.22,14.6,150.74,4.796,81.93,2.354,0,NA,NA,NA,NA,NA,NA
7,2,21,18:00:00,1.21,14.3,154.29,4.933,85.83,2.878,0,NA,NA,NA,NA,NA,NA
7,2,21,18:15:00,1.19,14.1,153.69,4.043,86.43,2.835,0,NA,NA,NA,NA,NA,NA
7,2,21,18:30:00,1.22,13.9,156.43,2.39,87.65,4.407,0,NA,NA,NA,NA,NA,NA
7,2,21,18:45:00,1.25,13.8,160.99,3.314,90.32,3.265,0,NA,NA,NA,NA,NA,NA
